,console_description,console_id,sold_consoles,console_name,console_online_support,original_console_price,console_release_date,company_id,company_name
0,"Nintendo's first handheld gaming console was immensely popular among gamers, selling millions. Despite its grayscale color scheme, it still got support from developers and publishers.",3,118690000,Game Boy,False,179.0,1989-04-21,90,Nintendo
1,The Super Nintendo Entertainment System was the second home console released by Nintendo.,9,49100000,Super Nintendo Entertainment System,True,199.0,1990-11-21,90,Nintendo
2,"The successor to the SNES was Nintendo's entry in the fifth home console generation, as well as the company's first system designed specifically to handle polygonal 3D graphics.",43,32930000,Nintendo 64,False,199.0,1996-06-23,90,Nintendo
3,"Nintendo's successor to the Game Boy, featuring a color screen and backwards compatibility for all previous Game Boy titles.",57,118690000,Game Boy Color,False,70.0,1998-10-31,90,Nintendo
4,"Sony's PlayStation 2 is the second home video game console produced by Sony Computer Entertainment Incorporated, and to date is the best-selling home console of all time, with an install base of 150 million units since its launch.",19,160000000,PlayStation 2,True,299.0,2000-03-04,995,Sony Interactive Entertainment
5,"The third platform in the Game Boy line, the Game Boy Advance was offered in a multitude of colors and had three hardware offerings, the sideways Game Boy Advance, the flip Game Boy Advance SP and the tiny Game Boy Advance Micro.",4,81510000,Game Boy Advance,False,100.0,2001-03-21,90,Nintendo
6,"The Nintendo GameCube is a sixth generation video game console released by Nintendo on September 15, 2001 in Japan, November 18, 2001 in North America, May 3, 2002 in Europe, and May 17, 2002 in Australia.",23,21740000,GameCube,True,199.0,2001-09-14,90,Nintendo
7,Microsoft's first home gaming system and one of the first to include an internal hard drive and built in online play capability. It was considered the first console to have fully supported meaningful online play.,32,24650000,Xbox,False,299.0,2001-11-30,340,Xbox Game Studios
8,"The Nintendo DS is a handheld featuring two screens, one of which is a resistive touchscreen. Four different models are available: the original DS, the DS Lite, the DSi, the DSi XL.",52,154020000,Nintendo DS,True,149.0,2004-11-21,90,Nintendo
9,The Xbox 360 is the second game console produced by Microsoft Corporation and is the successor to the original Xbox.,20,85800000,Xbox 360,True,399.0,2005-11-22,340,Xbox Game Studios
10,The PlayStation 3 (often abbreviated PS3) is the third home video game console created and released by Sony Computer Entertainment Inc.,35,87400000,PlayStation 3,True,599.0,2006-11-11,995,Sony Interactive Entertainment
11,"The Nintendo Wii is a home video game console released on November 19, 2006. The Wii's main selling point was the innovative use of motion controls that its signature Wii Remote and Nunchuk controllers allowed for. It became the best selling home console of its respective generation of hardware.",36,101630000,Wii,True,249.0,2006-11-19,90,Nintendo
12,"The Nintendo 3DS is a portable game console produced by Nintendo. The handheld features stereoscopic 3D technology that doesn't require glasses. It was released in Japan on February 26, 2011 and in North America on March 27, 2011.",117,75940000,Nintendo 3DS,True,249.0,2011-02-26,90,Nintendo
13,"PlayStation 4 is Sony's fourth home video game console, released on November 15, 2013 in North America, and November 29, 2013 in Europe. On November 10 2016, Sony released the Playstation 4 Pro, an updated version of the console targeting 4K gaming.",146,117200000,PlayStation 4,True,399.0,2013-11-15,995,Sony Interactive Entertainment
14,"Nintendo's home console that can be turned into a portable device by removing it from its TV-dock. Launched worldwide on March 3, 2017.",157,146040000,Nintendo Switch,True,299.0,2017-03-03,90,Nintendo
15,"The fourth Xbox console from Microsoft launched on November 10, 2020 with two distinct models; Series X and Series S.",179,28300000,Xbox Series X|S,False,499.0,2020-11-10,340,Xbox Game Studios
16,"Sony's fifth PlayStation console launched on November 12, 2020 with two models: a standard edition with a disk drive and a digital edition without.",176,65600000,PlayStation 5,False,500.0,2020-11-12,3223,Sony Corporation
17,The Nintendo Switch 2 is Nintendo's eighth home console and the successor to the Nintendo Switch.,210,0,Nintendo Switch 2,False,450.0,2025-06-05,90,Nintendo
18,"The fifth Xbox console was first mentioned by Xbox President, Sarah Bond, in February 2024.",211,0,Next Generation Xbox,False,0.0,2026-07-01,0,
